,place,name,year,runtime,genre,rating
0,1.,The Shawshank Redemption,(1994),142 min,"
Drama            ","

9.3
"
1,2.,The Godfather,(1972),175 min,"
Crime, Drama            ","

9.2
"
2,3.,The Dark Knight,(2008),152 min,"
Action, Crime, Drama            ","

9.0
"
3,4.,The Godfather: Part II,(1974),202 min,"
Crime, Drama            ","

9.0
"
4,5.,The Lord of the Rings: The Return of the King,(2003),201 min,"
Adventure, Drama, Fantasy            ","

8.9
"
5,6.,Pulp Fiction,(1994),154 min,"
Crime, Drama            ","

8.9
"
6,7.,Schindler's List,(1993),195 min,"
Biography, Drama, History            ","

8.9
"
7,8.,12 Angry Men,(1957),96 min,"
Crime, Drama            ","

8.9
"
8,9.,Inception,(2010),148 min,"
Action, Adventure, Sci-Fi            ","

8.8
"
9,10.,Fight Club,(1999),139 min,"
Drama            ","

8.8
"
10,11.,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"
Action, Adventure, Drama            ","

8.8
"
11,12.,Forrest Gump,(1994),142 min,"
Drama, Romance            ","

8.8
"
12,13.,"Il buono, il brutto, il cattivo",(1966),161 min,"
Western            ","

8.8
"
13,14.,The Lord of the Rings: The Two Towers,(2002),179 min,"
Adventure, Drama, Fantasy            ","

8.7
"
14,15.,The Matrix,(1999),136 min,"
Action, Sci-Fi            ","

8.7
"
15,16.,Goodfellas,(1990),146 min,"
Biography, Crime, Drama            ","

8.7
"
16,17.,Star Wars: Episode V - The Empire Strikes Back,(1980),124 min,"
Action, Adventure, Fantasy            ","

8.7
"
17,18.,One Flew Over the Cuckoo's Nest,(1975),133 min,"
Drama            ","

8.7
"
18,19.,Anand,(1971),122 min,"
Drama, Musical            ","

8.7
"
19,20.,Seppuku,(1962),133 min,"
Action, Drama, History            ","

8.7
"
20,21.,Gisaengchung,(2019),132 min,"
Comedy, Drama, Thriller            ","

8.6
"
21,22.,Interstellar,(2014),169 min,"
Adventure, Drama, Sci-Fi            ","

8.6
"
22,23.,Cidade de Deus,(2002),130 min,"
Crime, Drama            ","

8.6
"
23,24.,Sen to Chihiro no kamikakushi,(2001),125 min,"
Animation, Adventure, Family            ","

8.6
"
24,25.,Saving Private Ryan,(1998),169 min,"
Drama, War            ","

8.6
"
25,26.,The Green Mile,(1999),189 min,"
Crime, Drama, Fantasy            ","

8.6
"
26,27.,La vita è bella,(1997),116 min,"
Comedy, Drama, Romance            ","

8.6
"
27,28.,Se7en,(1995),127 min,"
Crime, Drama, Mystery            ","

8.6
"
28,29.,The Silence of the Lambs,(1991),118 min,"
Crime, Drama, Thriller            ","

8.6
"
29,30.,Star Wars,(1977),121 min,"
Action, Adventure, Fantasy            ","

8.6
"
30,31.,Shichinin no samurai,(1954),207 min,"
Action, Adventure, Drama            ","

8.6
"
31,32.,It's a Wonderful Life,(1946),130 min,"
Drama, Family, Fantasy            ","

8.6
"
32,33.,Joker,(2019),122 min,"
Crime, Drama, Thriller            ","

8.5
"
33,34.,Avengers: Infinity War,(2018),149 min,"
Action, Adventure, Sci-Fi            ","

8.5
"
34,35.,Whiplash,(2014),106 min,"
Drama, Music            ","

8.5
"
35,36.,The Intouchables,(2011),112 min,"
Biography, Comedy, Drama            ","

8.5
"
36,37.,The Prestige,(2006),130 min,"
Drama, Mystery, Sci-Fi            ","

8.5
"
37,38.,The Departed,(2006),151 min,"
Crime, Drama, Thriller            ","

8.5
"
38,39.,The Pianist,(2002),150 min,"
Biography, Drama, Music            ","

8.5
"
39,40.,Gladiator,(2000),155 min,"
Action, Adventure, Drama            ","

8.5
"
40,41.,American History X,(1998),119 min,"
Drama            ","

8.5
"
41,42.,The Usual Suspects,(1995),106 min,"
Crime, Mystery, Thriller            ","

8.5
"
42,43.,Léon,(1994),110 min,"
Action, Crime, Drama            ","

8.5
"
43,44.,The Lion King,(1994),88 min,"
Animation, Adventure, Drama            ","

8.5
"
44,45.,Terminator 2: Judgment Day,(1991),137 min,"
Action, Sci-Fi            ","

8.5
"
45,46.,Nuovo Cinema Paradiso,(1988),155 min,"
Drama            ","

8.5
"
46,47.,Hotaru no haka,(1988),89 min,"
Animation, Drama, War            ","

8.5
"
47,48.,Back to the Future,(1985),116 min,"
Adventure, Comedy, Sci-Fi            ","

8.5
"
48,49.,Once Upon a Time in the West,(1968),165 min,"
Western            ","

8.5
"
49,50.,Tengoku to jigoku,(1963),143 min,"
Crime, Drama, Mystery            ","

8.5
"
50,51.,Psycho,(1960),109 min,"
Horror, Mystery, Thriller            ","

8.5
"
51,52.,Casablanca,(1942),102 min,"
Drama, Romance, War            ","

8.5
"
52,53.,Modern Times,(1936),87 min,"
Comedy, Drama, Family            ","

8.5
"
53,54.,City Lights,(1931),87 min,"
Comedy, Drama, Romance            ","

8.5
"
54,55.,Capharnaüm,(2018),126 min,"
Drama            ","

8.4
"
55,56.,Kimi no na wa.,(2016),106 min,"
Animation, Drama, Fantasy            ","

8.4
"
56,57.,Dangal,(2016),161 min,"
Action, Biography, Drama            ","

8.4
"
57,58.,Spider-Man: Into the Spider-Verse,(2018),117 min,"
Animation, Action, Adventure            ","

8.4
"
58,59.,Avengers: Endgame,(2019),181 min,"
Action, Adventure, Drama            ","

8.4
"
59,60.,Coco,(I) (2017),105 min,"
Animation, Adventure, Family            ","

8.4
"
60,61.,Django Unchained,(2012),165 min,"
Drama, Western            ","

8.4
"
61,62.,The Dark Knight Rises,(2012),164 min,"
Action, Adventure            ","

8.4
"
62,63.,3 Idiots,(2009),170 min,"
Comedy, Drama            ","

8.4
"
63,64.,Taare Zameen Par,(2007),165 min,"
Drama, Family            ","

8.4
"
64,65.,WALL·E,(2008),98 min,"
Animation, Adventure, Family            ","

8.4
"
65,66.,The Lives of Others,(2006),137 min,"
Drama, Mystery, Thriller            ","

8.4
"
66,67.,Oldeuboi,(2003),120 min,"
Action, Drama, Mystery            ","

8.4
"
67,68.,Memento,(2000),113 min,"
Mystery, Thriller            ","

8.4
"
68,69.,Mononoke-hime,(1997),134 min,"
Animation, Adventure, Fantasy            ","

8.4
"
69,70.,Once Upon a Time in America,(1984),229 min,"
Crime, Drama            ","

8.4
"
70,71.,Raiders of the Lost Ark,(1981),115 min,"
Action, Adventure            ","

8.4
"
71,72.,The Shining,(1980),146 min,"
Drama, Horror            ","

8.4
"
72,73.,Apocalypse Now,(1979),147 min,"
Drama, Mystery, War            ","

8.4
"
73,74.,Alien,(1979),117 min,"
Horror, Sci-Fi            ","

8.4
"
74,75.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,"
Comedy            ","

8.4
"
75,76.,Witness for the Prosecution,(1957),116 min,"
Crime, Drama, Mystery            ","

8.4
"
76,77.,Paths of Glory,(1957),88 min,"
Drama, War            ","

8.4
"
77,78.,Rear Window,(1954),112 min,"
Mystery, Thriller            ","

8.4
"
78,79.,Sunset Blvd.,(1950),110 min,"
Drama, Film-Noir            ","

8.4
"
79,80.,The Great Dictator,(1940),125 min,"
Comedy, Drama, War            ","

8.4
"
80,81.,1917,(2019),119 min,"
Drama, War            ","

8.3
"
81,82.,Andhadhun,(2018),139 min,"
Crime, Thriller            ","

8.3
"
82,83.,Jagten,(2012),115 min,"
Drama            ","

8.3
"
83,84.,Jodaeiye Nader az Simin,(2011),123 min,"
Drama            ","

8.3
"
84,85.,Incendies,(2010),131 min,"
Drama, Mystery, War            ","

8.3
"
85,86.,Babam ve Oglum,(2005),108 min,"
Drama, Family            ","

8.3
"
86,87.,Toy Story 3,(2010),103 min,"
Animation, Adventure, Comedy            ","

8.3
"
87,88.,Inglourious Basterds,(2009),153 min,"
Adventure, Drama, War            ","

8.3
"
88,89.,Eternal Sunshine of the Spotless Mind,(2004),108 min,"
Drama, Romance, Sci-Fi            ","

8.3
"
89,90.,Amélie,(2001),122 min,"
Comedy, Romance            ","

8.3
"
90,91.,Snatch,(2000),104 min,"
Comedy, Crime            ","

8.3
"
91,92.,Requiem for a Dream,(2000),102 min,"
Drama            ","

8.3
"
92,93.,American Beauty,(1999),122 min,"
Drama            ","

8.3
"
93,94.,Good Will Hunting,(1997),126 min,"
Drama, Romance            ","

8.3
"
94,95.,Bacheha-Ye aseman,(1997),89 min,"
Drama, Family, Sport            ","

8.3
"
95,96.,Eskiya,(1996),128 min,"
Crime, Drama, Thriller            ","

8.3
"
96,97.,Toy Story,(1995),81 min,"
Animation, Adventure, Comedy            ","

8.3
"
97,98.,Braveheart,(1995),178 min,"
Biography, Drama, History            ","

8.3
"
98,99.,Reservoir Dogs,(1992),99 min,"
Crime, Drama, Thriller            ","

8.3
"
99,100.,Full Metal Jacket,(1987),116 min,"
Drama, War            ","

8.3
"
100,101.,Idi i smotri,(1985),142 min,"
Drama, War            ","

8.3
"
101,102.,Aliens,(1986),137 min,"
Action, Adventure, Sci-Fi            ","

8.3
"
102,103.,Amadeus,(1984),160 min,"
Biography, Drama, History            ","

8.3
"
103,104.,Scarface,(1983),170 min,"
Crime, Drama            ","

8.3
"
104,105.,Star Wars: Episode VI - Return of the Jedi,(1983),131 min,"
Action, Adventure, Fantasy            ","

8.3
"
105,106.,Das Boot,(1981),149 min,"
Adventure, Drama, Thriller            ","

8.3
"
106,107.,Taxi Driver,(1976),114 min,"
Crime, Drama            ","

8.3
"
107,108.,The Sting,(1973),129 min,"
Comedy, Crime, Drama            ","

8.3
"
108,109.,A Clockwork Orange,(1971),136 min,"
Crime, Drama, Sci-Fi            ","

8.3
"
109,110.,2001: A Space Odyssey,(1968),149 min,"
Adventure, Sci-Fi            ","

8.3
"
110,111.,Per qualche dollaro in più,(1965),132 min,"
Western            ","

8.3
"
111,112.,Lawrence of Arabia,(1962),228 min,"
Adventure, Biography, Drama            ","

8.3
"
112,113.,The Apartment,(1960),125 min,"
Comedy, Drama, Romance            ","

8.3
"
113,114.,North by Northwest,(1959),136 min,"
Adventure, Mystery, Thriller            ","

8.3
"
114,115.,Vertigo,(1958),128 min,"
Mystery, Romance, Thriller            ","

8.3
"
115,116.,Singin' in the Rain,(1952),103 min,"
Comedy, Musical, Romance            ","

8.3
"
116,117.,Ikiru,(1952),143 min,"
Drama            ","

8.3
"
117,118.,Ladri di biciclette,(1948),89 min,"
Drama            ","

8.3
"
118,119.,Double Indemnity,(1944),107 min,"
Crime, Drama, Film-Noir            ","

8.3
"
119,120.,Citizen Kane,(1941),119 min,"
Drama, Mystery            ","

8.3
"
120,121.,M - Eine Stadt sucht einen Mörder,(1931),117 min,"
Crime, Mystery, Thriller            ","

8.3
"
121,122.,Metropolis,(1927),153 min,"
Drama, Sci-Fi            ","

8.3
"
122,123.,The Kid,(1921),68 min,"
Comedy, Drama, Family            ","

8.3
"
123,124.,Portrait de la jeune fille en feu,(2019),122 min,"
Drama, Romance            ","

8.2
"
124,125.,Green Book,(2018),130 min,"
Biography, Comedy, Drama            ","

8.2
"
125,126.,"Three Billboards Outside Ebbing, Missouri",(2017),115 min,"
Comedy, Crime, Drama            ","

8.2
"
126,127.,Klaus,(2019),96 min,"
Animation, Adventure, Comedy            ","

8.2
"
127,128.,Drishyam,(2015),163 min,"
Crime, Drama, Mystery            ","

8.2
"
128,129.,Kis Uykusu,(2014),196 min,"
Drama            ","

8.2
"
129,130.,Gangs of Wasseypur,(2012),321 min,"
Action, Crime, Drama            ","

8.2
"
130,131.,El secreto de sus ojos,(2009),129 min,"
Drama, Mystery, Romance            ","

8.2
"
131,132.,Warrior,(2011),140 min,"
Drama, Sport            ","

8.2
"
132,133.,Up,(2009),96 min,"
Animation, Adventure, Comedy            ","

8.2
"
133,134.,The Wolf of Wall Street,(2013),180 min,"
Biography, Crime, Drama            ","

8.2
"
134,135.,There Will Be Blood,(2007),158 min,"
Drama            ","

8.2
"
135,136.,Pan's Labyrinth,(2006),118 min,"
Drama, Fantasy, War            ","

8.2
"
136,137.,V for Vendetta,(2005),132 min,"
Action, Drama, Sci-Fi            ","

8.2
"
137,138.,Rang De Basanti,(2006),167 min,"
Comedy, Drama            ","

8.2
"
138,139.,Batman Begins,(2005),140 min,"
Action, Adventure            ","

8.2
"
139,140.,"Swades: We, the People",(2004),210 min,"
Drama            ","

8.2
"
140,141.,Der Untergang,(2004),156 min,"
Biography, Drama, History            ","

8.2
"
141,142.,Hauru no ugoku shiro,(2004),119 min,"
Animation, Adventure, Family            ","

8.2
"
142,143.,A Beautiful Mind,(2001),135 min,"
Biography, Drama            ","

8.2
"
143,144.,"Lock, Stock and Two Smoking Barrels",(1998),107 min,"
Comedy, Crime            ","

8.2
"
144,145.,L.A. Confidential,(1997),138 min,"
Crime, Drama, Mystery            ","

8.2
"
145,146.,Heat,(1995),170 min,"
Crime, Drama, Thriller            ","

8.2
"
146,147.,Casino,(1995),178 min,"
Crime, Drama            ","

8.2
"
147,148.,Unforgiven,(1992),130 min,"
Drama, Western            ","

8.2
"
148,149.,Indiana Jones and the Last Crusade,(1989),127 min,"
Action, Adventure            ","

8.2
"
149,150.,Tonari no Totoro,(1988),86 min,"
Animation, Family, Fantasy            ","

8.2
"
150,151.,Die Hard,(1988),132 min,"
Action, Thriller            ","

8.2
"
151,152.,Ran,(1985),162 min,"
Action, Drama, War            ","

8.2
"
152,153.,Raging Bull,(1980),129 min,"
Biography, Drama, Sport            ","

8.2
"
153,154.,Stalker,(1979),162 min,"
Drama, Sci-Fi            ","

8.2
"
154,155.,Monty Python and the Holy Grail,(1975),91 min,"
Adventure, Comedy, Fantasy            ","

8.2
"
155,156.,Chinatown,(1974),130 min,"
Drama, Mystery, Thriller            ","

8.2
"
156,157.,The Great Escape,(1963),172 min,"
Adventure, Drama, History            ","

8.2
"
157,158.,To Kill a Mockingbird,(1962),129 min,"
Crime, Drama            ","

8.2
"
158,159.,Yôjinbô,(1961),110 min,"
Action, Drama, Thriller            ","

8.2
"
159,160.,Judgment at Nuremberg,(1961),179 min,"
Drama, War            ","

8.2
"
160,161.,Some Like It Hot,(1959),121 min,"
Comedy, Music, Romance            ","

8.2
"
161,162.,Smultronstället,(1957),91 min,"
Drama, Romance            ","

8.2
"
162,163.,Det sjunde inseglet,(1957),96 min,"
Drama, Fantasy            ","

8.2
"
163,164.,Dial M for Murder,(1954),105 min,"
Crime, Thriller            ","

8.2
"
164,165.,Tôkyô monogatari,(1953),136 min,"
Drama            ","

8.2
"
165,166.,Rashômon,(1950),88 min,"
Crime, Drama, Mystery            ","

8.2
"
166,167.,All About Eve,(1950),138 min,"
Drama            ","

8.2
"
167,168.,The Treasure of the Sierra Madre,(1948),126 min,"
Adventure, Drama, Western            ","

8.2
"
